alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.617	7.201	0.657	90.0	26.0	186.0	3.0	1.0	5	0.0013088000000000002
2.951	7.201	0.981	90.0	45.0	256.0	3.0	1.0	0	0.0032516000000000003
6.748	9.358	0.985	84.0	35.0	99.0	3.0	1.0	6	0.0333966
7.166	3.357	0.789	73.0	41.0	24.0	3.0	0.0	6	0.044788
6.748	9.563	0.977	84.0	35.0	114.0	3.0	0.0	5	0.09523440000000001
6.945	7.378	0.789	73.0	32.0	24.0	3.0	0.0	7	0.1038296
2.951	7.201	0.657	90.0	45.0	256.0	3.0	1.0	2	0.1093904
1.617	6.762	0.657	90.0	26.0	391.0	3.0	1.0	7	0.1439358
6.945	7.378	0.789	73.0	41.0	24.0	3.0	0.0	2	0.1519506
6.945	3.357	0.789	73.0	26.0	24.0	3.0	1.0	6	0.1524586
4.571	3.357	0.411	75.0	41.0	24.0	3.0	1.0	5	0.1700766
1.017	2.597	0.985	84.0	35.0	500.0	3.0	1.0	5	0.1733066
6.748	2.13	0.635	84.0	35.0	235.0	3.0	1.0	4	0.20991280000000004
2.951	7.201	0.657	90.0	45.0	714.0	3.0	1.0	6	0.2330432
4.571	3.357	0.789	73.0	41.0	24.0	3.0	0.0	1	0.2351958
8.187	3.523	0.165	16.0	39.0	204.0	3.0	1.0	0	0.2466704
3.808	7.161	0.981	90.0	45.0	256.0	3.0	1.0	7	0.25390999999999997
6.748	2.597	0.985	84.0	35.0	99.0	3.0	1.0	3	0.29769999999999996
6.945	7.378	0.789	73.0	41.0	354.0	3.0	0.0	6	0.3466682
6.945	3.357	0.789	73.0	21.0	24.0	3.0	1.0	3	0.3539192
8.783	6.927	0.789	73.0	21.0	24.0	3.0	1.0	6	0.35510919999999996
5.056	5.329	0.589	41.0	40.0	213.0	3.0	1.0	5	0.3598368
2.951	7.201	0.981	90.0	28.0	171.0	3.0	0.0	4	0.4263522
6.129	3.357	0.789	73.0	41.0	24.0	3.0	0.0	7	0.441395
5.056	7.908	0.784	41.0	40.0	554.0	3.0	1.0	6	0.5703272
