alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
9.661	4.091	0.323	53.0	16.0	525.0	3.0	0.0	0	0.0224132
2.32	9.517	0.865	66.0	23.0	510.0	3.0	0.0	3	0.034212000000000006
2.212	6.267	0.65	86.0	10.0	232.0	3.0	0.0	4	0.0458748
2.205	7.66	0.876	71.0	41.0	636.0	3.0	0.0	6	0.06897299999999999
3.208	7.869	0.254	42.0	33.0	106.0	3.0	1.0	6	0.0955494
8.415	3.255	0.331	78.0	46.0	526.0	3.0	1.0	3	0.0974464
1.087	3.255	0.933	56.0	36.0	749.0	3.0	1.0	5	0.10016640000000002
3.613	8.757	0.621	87.0	25.0	194.0	3.0	1.0	5	0.12933440000000002
3.466	5.262	0.854	15.0	39.0	6.0	3.0	1.0	3	0.1810546
9.661	4.091	0.323	53.0	33.0	525.0	3.0	0.0	4	0.186892
3.188	8.863	0.697	42.0	33.0	485.0	3.0	1.0	6	0.2122574
3.188	7.869	0.254	42.0	33.0	106.0	3.0	1.0	4	0.222077
2.32	9.647	0.122	66.0	23.0	222.0	3.0	1.0	5	0.22599059999999999
5.043	7.66	0.522	71.0	41.0	132.0	3.0	0.0	3	0.2308138
3.466	5.262	0.854	15.0	24.0	6.0	3.0	1.0	7	0.232574
1.765	2.241	0.567	42.0	40.0	15.0	3.0	1.0	7	0.24713500000000002
1.087	3.506	0.976	35.0	36.0	749.0	3.0	1.0	7	0.25346
5.043	6.905	0.879	35.0	41.0	98.0	3.0	1.0	0	0.26869319999999997
1.087	3.255	0.933	78.0	36.0	749.0	3.0	1.0	1	0.3165802
7.169	5.262	0.378	15.0	20.0	6.0	3.0	1.0	7	0.3771522
3.466	5.262	0.378	15.0	23.0	6.0	3.0	1.0	6	0.38241080000000005
8.415	3.255	0.941	78.0	46.0	526.0	3.0	1.0	6	0.4152218
8.305	5.238	0.78	42.0	33.0	106.0	3.0	1.0	7	0.419485
3.188	2.241	0.697	42.0	33.0	380.0	3.0	1.0	1	0.532034
1.087	3.255	0.933	78.0	36.0	391.0	3.0	1.0	2	0.5389185999999999
