alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.267	9.628	0.161	62.0	23.0	78.0	1.0	1.0	3	-0.0
3.859	1.066	0.413	88.0	14.0	15.0	3.0	0.0	5	0.0093618
4.386	9.628	0.161	62.0	23.0	78.0	1.0	1.0	2	0.0428126
2.267	9.628	0.43	62.0	26.0	78.0	1.0	1.0	6	0.0618926
5.961	1.289	0.52	78.0	26.0	529.0	2.0	1.0	2	0.0855666
3.544	6.852	0.161	62.0	23.0	170.0	1.0	1.0	2	0.10124439999999998
3.544	5.973	0.458	84.0	23.0	170.0	1.0	1.0	7	0.12328220000000001
3.911	8.927	0.52	78.0	26.0	74.0	0.0	1.0	5	0.1390224
3.07	7.421	0.224	42.0	35.0	117.0	0.0	0.0	5	0.2003184
3.544	6.259	0.934	84.0	23.0	170.0	1.0	1.0	6	0.20298879999999997
5.9	6.852	0.891	84.0	23.0	170.0	1.0	0.0	7	0.22034159999999997
3.859	1.066	0.347	88.0	14.0	48.0	3.0	0.0	1	0.22056599999999998
9.417	4.871	0.161	50.0	40.0	287.0	3.0	1.0	7	0.23474019999999998
5.961	1.289	0.52	78.0	26.0	529.0	0.0	1.0	3	0.234849
4.951	1.066	0.102	73.0	14.0	423.0	1.0	1.0	7	0.23837759999999997
3.073	9.596	0.675	28.0	40.0	65.0	3.0	1.0	7	0.26500579999999996
5.961	8.816	0.21	78.0	26.0	529.0	0.0	1.0	6	0.2673152
2.426	9.049	0.289	82.0	24.0	604.0	0.0	0.0	6	0.2946084
4.386	9.628	0.161	81.0	23.0	78.0	1.0	1.0	7	0.3306846
4.386	9.628	0.161	91.0	23.0	349.0	1.0	1.0	6	0.3761338
4.386	9.628	0.161	14.0	23.0	349.0	1.0	1.0	7	0.4010496
4.854	5.416	0.447	75.0	34.0	535.0	1.0	1.0	5	0.4233138
7.53	9.265	0.289	87.0	24.0	604.0	1.0	0.0	0	0.4364002
6.813	8.005	0.52	78.0	26.0	219.0	3.0	1.0	6	0.47557720000000003
6.813	8.005	0.52	83.0	26.0	219.0	3.0	1.0	7	0.49445180000000005
