alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
8.237	9.324	0.366	55.0	26.0	393.0	3.0	1.0	4	0.09599357142857144
4.503	1.118	0.127	54.0	21.0	738.0	3.0	1.0	7	0.09785042857142857
1.9	3.801	0.622	82.0	14.0	178.0	3.0	1.0	5	0.10038185714285715
8.237	9.324	0.366	55.0	26.0	61.0	3.0	1.0	5	0.10617842857142858
2.41	9.827	0.742	35.0	43.0	49.0	3.0	0.0	0	0.12003057142857143
3.726	7.651	0.804	98.0	34.0	345.0	3.0	1.0	5	0.16116942857142855
2.41	5.815	0.438	83.0	28.0	280.0	3.0	0.0	3	0.1998327142857143
2.668	1.118	0.443	54.0	21.0	738.0	3.0	1.0	2	0.21818442857142856
5.895	9.324	0.366	55.0	26.0	61.0	3.0	1.0	6	0.2538101428571428
2.41	4.408	0.271	35.0	43.0	49.0	2.0	1.0	2	0.2539461428571429
2.668	1.118	0.443	54.0	36.0	738.0	3.0	1.0	4	0.25620985714285716
5.895	9.324	0.452	55.0	32.0	61.0	3.0	1.0	7	0.29281142857142856
7.987	9.827	0.742	96.0	43.0	49.0	3.0	1.0	6	0.31311071428571424
5.338	5.815	0.742	80.0	43.0	299.0	3.0	1.0	5	0.31971228571428567
8.103	3.316	0.322	41.0	15.0	291.0	3.0	0.0	2	0.322314
9.616	7.85	0.119	47.0	19.0	697.0	3.0	0.0	2	0.32598928571428576
7.556	7.007	0.583	41.0	17.0	459.0	2.0	1.0	4	0.34250857142857144
7.987	9.827	0.742	96.0	43.0	49.0	3.0	0.0	5	0.3535211428571428
6.294	6.52	0.742	80.0	43.0	299.0	3.0	1.0	7	0.38115657142857146
2.668	1.118	0.443	54.0	39.0	738.0	3.0	1.0	5	0.3821187142857143
2.668	1.118	0.443	54.0	39.0	564.0	3.0	1.0	6	0.3842784285714286
5.547	8.314	0.635	64.0	17.0	86.0	3.0	1.0	5	0.4201055714285714
2.41	5.815	0.438	83.0	45.0	280.0	3.0	1.0	7	0.4273737142857143
8.517	6.653	0.426	64.0	9.0	86.0	3.0	1.0	6	0.4336967142857143
8.067	8.314	0.957	64.0	17.0	272.0	3.0	1.0	4	0.4516178571428572
