alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.483	4.491	0.957	87.0	36.0	374.0	3.0	0.0	11	0.008207599999999999
2.496	1.489	0.535	69.0	34.0	71.0	3.0	1.0	15	0.0222498
2.733	4.491	0.957	87.0	36.0	374.0	3.0	0.0	19	0.0231306
2.604	3.514	0.622	80.0	49.0	115.0	3.0	1.0	13	0.0460766
1.483	4.491	0.211	42.0	47.0	376.0	3.0	1.0	5	0.0533496
1.483	1.489	0.555	69.0	34.0	699.0	3.0	1.0	11	0.07563679999999999
1.483	3.051	0.211	69.0	47.0	699.0	3.0	1.0	7	0.08081020000000001
1.483	3.051	0.541	58.0	47.0	369.0	3.0	1.0	19	0.13879239999999998
1.483	4.491	0.526	42.0	47.0	376.0	3.0	1.0	15	0.1574296
1.483	4.491	0.211	42.0	47.0	376.0	3.0	0.0	6	0.1873552
