alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.996	5.755	0.12	88.0	21.0	124.0	3.0	1.0	14	0.007698000000000001
1.996	9.301	0.64	96.0	21.0	124.0	3.0	1.0	14	0.0130882
1.996	5.755	0.384	34.0	37.0	124.0	3.0	1.0	12	0.022394
1.996	5.755	0.57	43.0	34.0	133.0	3.0	1.0	9	0.1176712
1.996	5.184	0.57	43.0	34.0	133.0	3.0	1.0	11	0.14493119999999998
1.996	5.755	0.195	43.0	21.0	124.0	3.0	1.0	13	0.162812
1.996	7.251	0.384	88.0	13.0	466.0	3.0	1.0	14	0.1985246
2.098	6.213	0.384	48.0	38.0	197.0	3.0	1.0	12	0.23869439999999997
1.996	5.755	0.384	88.0	21.0	124.0	3.0	1.0	11	0.2502826
1.996	5.755	0.384	43.0	21.0	124.0	3.0	1.0	8	0.26379
1.996	9.131	0.222	43.0	38.0	191.0	3.0	1.0	14	0.2820252
1.996	5.755	0.384	43.0	38.0	583.0	3.0	1.0	9	0.2871502
1.996	5.755	0.336	43.0	24.0	124.0	3.0	1.0	14	0.3962952
1.996	5.755	0.384	43.0	38.0	197.0	3.0	1.0	6	0.4348572
