alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
6.251	8.942	0.312	99.0	19.0	38.0	3.0	1.0	0	0.0017502
5.169	9.451	0.455	99.0	19.0	286.0	3.0	1.0	7	0.0303402
9.724	8.14	0.276	77.0	45.0	39.0	3.0	1.0	6	0.06173120000000001
9.724	8.14	0.677	77.0	45.0	39.0	3.0	1.0	5	0.0722386
6.251	4.778	0.886	99.0	39.0	38.0	3.0	1.0	7	0.07606500000000001
6.251	8.778	0.312	49.0	39.0	38.0	3.0	0.0	5	0.0856296
3.798	9.451	0.414	99.0	19.0	286.0	3.0	1.0	6	0.1489436
8.638	9.578	0.438	25.0	31.0	192.0	3.0	1.0	1	0.15989179999999997
1.426	7.153	0.814	74.0	22.0	720.0	2.0	0.0	5	0.18227659999999998
5.253	2.75	0.908	95.0	48.0	96.0	3.0	1.0	0	0.20539860000000001
4.548	3.41	0.936	81.0	16.0	225.0	3.0	0.0	5	0.20870519999999998
6.251	8.778	0.312	99.0	39.0	271.0	3.0	0.0	6	0.20907940000000003
2.093	8.69	0.242	35.0	41.0	293.0	3.0	0.0	2	0.22972539999999997
2.616	9.067	0.677	77.0	45.0	345.0	3.0	1.0	7	0.239987
6.251	8.732	0.414	77.0	25.0	38.0	3.0	1.0	7	0.2653416
8.638	7.142	0.373	25.0	31.0	484.0	3.0	1.0	5	0.2814388
3.61	9.578	0.886	25.0	31.0	192.0	3.0	1.0	6	0.3646734
6.251	8.732	0.414	99.0	31.0	38.0	3.0	1.0	6	0.39607060000000005
3.798	8.732	0.414	99.0	19.0	286.0	3.0	1.0	5	0.3988574
2.403	1.095	0.936	17.0	25.0	225.0	3.0	1.0	6	0.44057500000000005
6.251	8.732	0.414	99.0	19.0	38.0	3.0	1.0	4	0.4674948
4.425	8.14	0.332	30.0	42.0	606.0	3.0	1.0	2	0.4876002
6.251	8.231	0.136	81.0	19.0	38.0	3.0	1.0	6	0.4982432
6.251	8.942	0.312	99.0	39.0	38.0	3.0	1.0	2	0.5377626
7.795	3.41	0.936	81.0	6.0	14.0	3.0	0.0	5	0.5611376
