p_c	p_m	N	c_0	Step_Found	VALUE
0.109	0.347	5.0	1.0	3	2.5999998
0.051	0.812	11.0	1.0	8	3.5399997999999995
0.109	0.892	43.0	1.0	9	4.160000200000001
0.85	0.172	6.0	2.0	5	4.359999999999999
0.018	0.848	15.0	1.0	9	4.9800002
0.309	0.117	13.0	1.0	12	5.0400006
0.916	0.812	11.0	1.0	13	5.4799998
0.552	0.612	10.0	1.0	11	7.219999999999999
0.309	0.117	12.0	1.0	8	7.379997999999999
0.405	0.832	41.0	2.0	7	10.2199996
0.848	0.1	41.0	2.0	8	10.2400006
0.565	0.501	24.0	1.0	4	11.100001
0.018	0.848	19.0	1.0	2	11.900000200000001
0.884	0.501	49.0	2.0	13	12.680000199999999
0.405	0.165	41.0	2.0	12	16.2799986
