p_c	p_m	N	c_0	Step_Found	VALUE
0.506	0.889	18.0	2.0	1	24.857142857142858
0.984	0.098	34.0	1.0	1	65.0
0.532	0.251	13.0	2.0	3	67.57142857142857
0.762	0.431	45.0	2.0	0	72.42857142857143
0.507	0.431	46.0	2.0	3	78.14285714285714
0.896	0.541	28.0	2.0	9	87.42857142857143
0.922	0.487	14.0	1.0	4	95.28571428571429
0.387	0.541	25.0	1.0	10	96.14285714285714
0.134	0.889	18.0	2.0	8	99.57142857142857
0.702	0.541	28.0	2.0	2	100.0
0.84	0.431	45.0	2.0	7	123.85714285714286
0.922	0.487	5.0	1.0	2	135.0
0.387	0.541	25.0	2.0	9	170.71428571428572
0.507	0.431	50.0	2.0	7	189.42857142857142
0.317	0.889	18.0	2.0	11	231.42857142857142
