p_c	p_m	N	c_0	Step_Found	VALUE
0.407	0.901	8.0	2.0	7	21.0
0.573	0.067	48.0	1.0	7	21.8
0.679	0.041	47.0	2.0	1	42.8
0.649	0.901	31.0	2.0	3	42.8
0.177	0.864	9.0	2.0	3	54.6
0.765	0.365	4.0	1.0	2	63.0
0.716	0.397	8.0	1.0	9	67.6
0.936	0.866	35.0	2.0	3	75.2
0.573	0.067	23.0	2.0	2	76.8
0.126	0.067	48.0	2.0	8	78.0
0.966	0.626	1.0	1.0	7	81.0
0.284	0.365	48.0	1.0	6	82.4
0.113	0.754	41.0	1.0	0	86.6
0.765	0.365	11.0	1.0	0	87.4
0.997	0.901	30.0	2.0	2	96.4
0.407	0.901	31.0	2.0	4	137.0
0.209	0.365	11.0	1.0	10	154.6
0.539	0.719	48.0	2.0	9	199.8
0.765	0.365	21.0	1.0	9	203.2
