p_c	p_m	N	c_0	Step_Found	VALUE
0.123	0.114	44.0	2.0	9	22.8
0.565	0.114	29.0	2.0	2	34.4
0.656	0.586	15.0	2.0	6	41.6
0.292	0.358	44.0	2.0	5	43.6
0.858	0.319	34.0	1.0	0	45.2
0.681	0.114	29.0	1.0	6	50.6
0.136	0.903	2.0	2.0	6	53.0
0.937	0.467	42.0	1.0	6	54.4
0.922	0.182	2.0	1.0	7	56.4
0.058	0.903	2.0	2.0	1	65.4
0.564	0.367	44.0	2.0	7	72.0
0.428	0.398	44.0	2.0	7	74.6
0.581	0.509	47.0	1.0	4	75.2
0.937	0.467	41.0	1.0	2	79.6
0.214	0.704	41.0	2.0	4	112.2
0.292	0.398	44.0	2.0	6	118.0
0.214	0.773	41.0	1.0	0	141.0
0.399	0.903	2.0	2.0	5	218.8
0.362	0.863	48.0	2.0	0	223.0
0.513	0.717	21.0	1.0	8	232.2
0.292	0.367	44.0	2.0	0	291.2
0.123	0.279	44.0	2.0	7	345.0
